"eaf085",NA,"Davis; Charles Augustus","Letters of J. Downing major Downingville militia Second brigade to his old friend Mr. Dwight of the New-York daily advertiser",NA,NA,1834,NA,NA
"eaf086v1",NA,"Dawes; Rufus","Nix's mate Vol.1",NA,NA,1839,NA,NA
"eaf086v2",NA,"Dawes; Rufus","Nix's mate Vol.2",NA,NA,1839,NA,NA
"eaf087",NA,"Duganne; A. J. H. (Augustine Joseph Hickey)","The two clerks or The orphan's gratitude",NA,NA,1843,NA,NA
"eaf089v1",NA,"Dunlap; William","Thirty years ago or The memoirs of a water drinker Vol.1",NA,NA,1836,NA,NA
"eaf089v2",NA,"Dunlap; William","Thirty years ago or The memoirs of a water drinker Vol.2",NA,NA,1836,NA,NA
"eaf090",NA,"Fairfield; Sumner Lincoln","The last night of Pompeii",NA,NA,1832,NA,NA
"eaf091v1",NA,"Cox; William","Crayon sketches Vol.1",NA,NA,1833,NA,NA
"eaf091v2",NA,"Cox; William","Crayon sketches Vol.2",NA,NA,1833,NA,NA
"eaf096v1",NA,"Fay; Theodore S. (Theodore Sedgwick)","Norman Leslie Vol.1",NA,NA,1835,NA,NA
"eaf096v2",NA,"Fay; Theodore S. (Theodore Sedgwick)","Norman Leslie Vol.2",NA,NA,1835,NA,NA
"eaf097v1",NA,"Fay; Theodore S. (Theodore Sedgwick)","Sydney Clifton or Vicissitudes in both hemispheres Vol.1",NA,NA,1839,NA,NA
"eaf097v2",NA,"Fay; Theodore S. (Theodore Sedgwick)","Sydney Clifton or Vicissitudes in both hemispheres Vol.2",NA,NA,1839,NA,NA
"eaf098v1",NA,"Fay; Theodore S. (Theodore Sedgwick)","The Countess Ida Vol.1",NA,NA,1840,NA,NA
"eaf098v2",NA,"Fay; Theodore S. (Theodore Sedgwick)","The Countess Ida Vol.2",NA,NA,1840,NA,NA
"eaf099",NA,"Fay; Theodore S. (Theodore Sedgwick)","Hoboken",NA,NA,1843,NA,NA
"eaf100v1",NA,"Flint; Timothy","Francis Berrian or The Mexican patriot Vol.1",NA,NA,1826,NA,NA
"eaf100v2",NA,"Flint; Timothy","Francis Berrian or The Mexican patriot Vol.2",NA,NA,1826,NA,NA
"eaf101v1",NA,"Flint; Timothy","The life and adventures of Arthur Clenning in two volumes Vol.1",NA,NA,1828,NA,NA
"eaf101v2",NA,"Flint; Timothy","The life and adventures of Arthur Clenning in two volumes Vol.2",NA,NA,1828,NA,NA
"eaf102",NA,"Flint; Timothy","George Mason the young backwoodsman or 'Don't give up the ship""",NA,NA,1829,NA,NA
"eaf103v1",NA,"Flint; Timothy","The Shoshonee Valley Vol.1",NA,NA,1830,NA,NA
"eaf103v2",NA,"Flint; Timothy","The Shoshonee Valley Vol.2",NA,NA,1830,NA,NA
"eaf104",NA,"Foster; Hannah Webster","The coquette or The history of Eliza Wharton : a novel founded on fact",NA,NA,1797,NA,NA
"eaf105",NA,"Foster; Hannah Webster","The boarding school or Lessons of a preceptress to her pupils ; consisting of information instruction and advice calculated to improve the manners and form the character of young ladies ; to which is added a collection of letters written by the pupils to their instructor their friends and each other",NA,NA,1798,NA,NA
"eaf107",NA,"Hale; Sarah Josepha Buell","Sketches of American character",NA,NA,1829,NA,NA
"eaf108",NA,"Hale; Sarah Josepha Buell","Traits of American life",NA,NA,1835,NA,NA
"eaf109",NA,"Hale; Sarah Josepha Buell","Keeping house and house keeping",NA,NA,1845,NA,NA
"eaf110",NA,"Hale; Sarah Josepha Buell","""Boarding out""",NA,NA,1846,NA,NA
"eaf111v1",NA,"Hall; Baynard Rush","The new purchase or Seven and a half years in the far West Vol.1",NA,NA,1843,NA,NA
"eaf111v2",NA,"Hall; Baynard Rush","The new purchase or Seven and a half years in the far West Vol.2",NA,NA,1843,NA,NA
"eaf112",NA,"Hall; Baynard Rush","Something for every body",NA,NA,1846,NA,NA
"eaf114",NA,"Hall; James","The Harpe's head",NA,NA,1833,NA,NA
"eaf115",NA,"Hall; James","The soldier's bride and other tales",NA,NA,1833,NA,NA
"eaf116",NA,"Hall; James","Tales of the border",NA,NA,1835,NA,NA
"eaf117",NA,"Hall; James","The wilderness and the war path no. 15",NA,NA,1846,NA,NA
"eaf119",NA,"Hawthorne; Nathaniel","Fanshawe",NA,NA,1828,NA,NA
"eaf120",NA,"Hawthorne; Nathaniel","Twice-told tales",NA,NA,1837,NA,NA
"eaf121",NA,"Hawthorne; Nathaniel","The gentle boy",NA,NA,1839,NA,NA
"eaf133",NA,"Hawthorne; Nathaniel","The celestial rail-road",NA,NA,1843,NA,NA
"eaf134v1",NA,"Hawthorne; Nathaniel","Mosses from an old manse Vol.1",NA,NA,1846,NA,NA
"eaf134v2",NA,"Hawthorne; Nathaniel","Mosses from an old manse Vol.2",NA,NA,1846,NA,NA
"eaf135",NA,"Hawthorne; Nathaniel","The scarlet letter",NA,NA,1850,NA,NA
"eaf137v1",NA,"Herbert; Henry William","Cromwell Vol.1",NA,NA,1838,NA,NA
"eaf137v2",NA,"Herbert; Henry William","Cromwell Vol.2",NA,NA,1838,NA,NA
"eaf138v1",NA,"Cypress; J.","Sporting scenes and sundry sketches Vol.1",NA,NA,1842,NA,NA
"eaf138v2",NA,"Cypress; J.","Sporting scenes and sundry sketches Vol.2",NA,NA,1842,NA,NA
"eaf146v1",NA,"Herbert; Henry William","The Roman traitor Vol.1",NA,NA,1846,NA,NA
"eaf146v2",NA,"Herbert; Henry William","The Roman traitor Vol.2",NA,NA,1846,NA,NA
"eaf147",NA,"Herbert; Henry William","Ingleborough Hall and Lord of the manor",NA,NA,1847,NA,NA
"eaf148",NA,"Herbert; Henry William","Tales of the Spanish seas",NA,NA,1847,NA,NA
"eaf150",NA,"Herbert; Henry William","Pierre the partisan",NA,NA,1848,NA,NA
"eaf151",NA,"Herbert; Henry William","Dermot O'Brien; or The taking of Tredagh",NA,NA,1849,NA,NA
"eaf152",NA,"Herbert; Henry William","The deerstalkers or Circumstantial evidence",NA,NA,1849,NA,NA
"eaf153v1",NA,"Hoffman; Charles Fenno","Greyslaer Vol.1",NA,NA,1840,NA,NA
"eaf153v2",NA,"Hoffman; Charles Fenno","Greyslaer Vol.2",NA,NA,1840,NA,NA
"eaf154",NA,"Hoffman; Charles Fenno","Wild scenes in the forest and prairie",NA,NA,1843,NA,NA
"eaf155v1",NA,"Ingraham; J. H. (Joseph Holt)","The South-west Vol.1",NA,NA,1835,NA,NA
"eaf155v2",NA,"Ingraham; J. H. (Joseph Holt)","The South-west Vol.2",NA,NA,1835,NA,NA
"eaf156v1",NA,"Ingraham; J. H. (Joseph Holt)","Lafitte Vol.1",NA,NA,1836,NA,NA
"eaf156v2",NA,"Ingraham; J. H. (Joseph Holt)","Lafitte Vol.2",NA,NA,1836,NA,NA
"eaf157v1",NA,"Ingraham; J. H. (Joseph Holt)","Burton or The sieges Vol.1",NA,NA,1838,NA,NA
"eaf157v2",NA,"Ingraham; J. H. (Joseph Holt)","Burton or The sieges Vol.2",NA,NA,1838,NA,NA
"eaf158v1",NA,"Ingraham; J. H. (Joseph Holt)","Captain Kyd or The wizard of the sea Vol.1",NA,NA,1839,NA,NA
"eaf158v2",NA,"Ingraham; J. H. (Joseph Holt)","Captain Kyd or The wizard of the sea Vol.2",NA,NA,1839,NA,NA
"eaf159",NA,"Ingraham; J. H. (Joseph Holt)","The American lounger or Tales sketches and legends gathered in sundry journeyings",NA,NA,1839,NA,NA
"eaf160v1",NA,"Ingraham; J. H. (Joseph Holt)","The quadroone or St. Michael's day Vol.1",NA,NA,1841,NA,NA
"eaf160v2",NA,"Ingraham; J. H. (Joseph Holt)","The quadroone or St. Michael's day Vol.2",NA,NA,1841,NA,NA
"eaf161",NA,"Ingraham; J. H. (Joseph Holt)","Edward Austin or The hunting flask",NA,NA,1842,NA,NA
"eaf162",NA,"Ingraham; J. H. (Joseph Holt)","Fanny or The hunchback and the rou&eacute",NA,NA,1843,NA,NA
"eaf163",NA,"Ingraham; J. H. (Joseph Holt)","Howard or The mysterious disappearance",NA,NA,1843,NA,NA
"eaf164",NA,"Ingraham; J. H. (Joseph Holt)","Morris Gr&aelig;me or The cruise of the Sea-Slipper",NA,NA,1843,NA,NA
"eaf165",NA,"Ingraham; J. H. (Joseph Holt)","The gipsy of the Highlands or The Jew and the heir",NA,NA,1843,NA,NA
"eaf166",NA,"Ingraham; J. H. (Joseph Holt)","Biddy Woodhull or The pretty haymaker",NA,NA,1844,NA,NA
"eaf167",NA,"Ingraham; J. H. (Joseph Holt)","Black Ralph or The helmsman of Hurlgate",NA,NA,1844,NA,NA
"eaf168",NA,"Ingraham; J. H. (Joseph Holt)","Caroline Archer or The miliner's apprentice",NA,NA,1844,NA,NA
"eaf169",NA,"Ingraham; J. H. (Joseph Holt)","Ellen Hart",NA,NA,1844,NA,NA
"eaf170",NA,"Ingraham; J. H. (Joseph Holt)","Herman de Ruyter",NA,NA,1844,NA,NA
"eaf171",NA,"Ingraham; J. H. (Joseph Holt)","Steel belt or The three masted goleta",NA,NA,1844,NA,NA
"eaf172",NA,"Ingraham; J. H. (Joseph Holt)","The diary of a hackney coachman",NA,NA,1844,NA,NA
"eaf173",NA,"Ingraham; J. H. (Joseph Holt)","The midshipman or The corvette and brigantine",NA,NA,1844,NA,NA
"eaf174",NA,"Ingraham; J. H. (Joseph Holt)","The silver bottle or The adventures of ""Little Marlboro"" in search of his father",NA,NA,1844,NA,NA
"eaf175",NA,"Ingraham; J. H. (Joseph Holt)","The Spanish galleon or The pirate of the Mediterranean",NA,NA,1844,NA,NA
"eaf176",NA,"Ingraham; J. H. (Joseph Holt)","Alice May and Bruising Bill",NA,NA,1845,NA,NA
"eaf177",NA,"Ingraham; J. H. (Joseph Holt)","Charles Blackford or The adventures of a student in search of a profession",NA,NA,1845,NA,NA
"eaf178",NA,"Ingraham; J. H. (Joseph Holt)","Fleming Field or The young artisan",NA,NA,1845,NA,NA
"eaf179",NA,"Ingraham; J. H. (Joseph Holt)","Forrestal or The light of the reef",NA,NA,1845,NA,NA
"eaf180",NA,"Ingraham; J. H. (Joseph Holt)","Freemantle or The privateersman!",NA,NA,1845,NA,NA
"eaf181",NA,"Ingraham; J. H. (Joseph Holt)","Grace Weldon or Frederica the bonnet-girl",NA,NA,1845,NA,NA
"eaf182",NA,"Ingraham; J. H. (Joseph Holt)","Harry Harefoot",NA,NA,1845,NA,NA
"eaf183",NA,"Ingraham; J. H. (Joseph Holt)","Henry Howard or Two noes make one yes",NA,NA,1845,NA,NA
"eaf184",NA,"Ingraham; J. H. (Joseph Holt)","Marie or The fugitive",NA,NA,1845,NA,NA
"eaf186",NA,"Ingraham; J. H. (Joseph Holt)","Montezuma the serf or The revolt of the Mexitili",NA,NA,1845,NA,NA
"eaf187",NA,"Ingraham; J. H. (Joseph Holt)","Neal Nelson",NA,NA,1845,NA,NA
"eaf188",NA,"Ingraham; J. H. (Joseph Holt)","Norman or The privateersman's bride",NA,NA,1845,NA,NA
"eaf189",NA,"Ingraham; J. H. (Joseph Holt)","Rafael",NA,NA,1845,NA,NA
"eaf190",NA,"Ingraham; J. H. (Joseph Holt)","Scarlet Feather or The young chief of the Abenaquies",NA,NA,1845,NA,NA
"eaf191",NA,"Ingraham; J. H. (Joseph Holt)","The clipper-yacht or Moloch the money-lender!",NA,NA,1845,NA,NA
"eaf192",NA,"Ingraham; J. H. (Joseph Holt)","The cruiser of the mist",NA,NA,1845,NA,NA
"eaf193",NA,"Ingraham; J. H. (Joseph Holt)","The knights of seven lands",NA,NA,1845,NA,NA
"eaf194",NA,"Ingraham; J. H. (Joseph Holt)","The seven knights or Tales of many lands",NA,NA,1845,NA,NA
"eaf195",NA,"Ingraham; J. H. (Joseph Holt)","The wing of the wind",NA,NA,1845,NA,NA
"eaf196",NA,"Ingraham; J. H. (Joseph Holt)","Alice May",NA,NA,1840,NA,NA
"eaf197",NA,"Ingraham; J. H. (Joseph Holt)","Bonfield or The outlaw of the Bermudas",NA,NA,1846,NA,NA
"eaf198",NA,"Ingraham; J. H. (Joseph Holt)","Leisler or The rebel and king's man",NA,NA,1846,NA,NA
"eaf199",NA,"Ingraham; J. H. (Joseph Holt)","The lady of the Gulf",NA,NA,1846,NA,NA
"eaf200",NA,"Ingraham; J. H. (Joseph Holt)","The mysterious state-room",NA,NA,1846,NA,NA
"eaf201",NA,"Ingraham; J. H. (Joseph Holt)","The odd fellow or The secret association and Foraging Peter",NA,NA,1846,NA,NA
"eaf202",NA,"Ingraham; J. H. (Joseph Holt)","The slave king or The triumph of liberty",NA,NA,1846,NA,NA
"eaf203",NA,"Ingraham; J. H. (Joseph Holt)","The spectre steamer and other tales",NA,NA,1846,NA,NA
"eaf204",NA,"Ingraham; J. H. (Joseph Holt)","The young artist and The bold insurgent",NA,NA,1846,NA,NA
"eaf205",NA,"Ingraham; J. H. (Joseph Holt)","Blanche Talbot or The maiden's hand",NA,NA,1847,NA,NA
"eaf206",NA,"Ingraham; J. H. (Joseph Holt)","Edward Manning or The bride and the maiden",NA,NA,1847,NA,NA
"eaf207",NA,"Ingraham; J. H. (Joseph Holt)","Paul Perril the merchant's son or The adventures of a New-England boy launched upon life",NA,NA,1847,NA,NA
"eaf208",NA,"Ingraham; J. H. (Joseph Holt)","Ringold Griffitt or The raftsman of the Susquehannah",NA,NA,1847,NA,NA
"eaf209",NA,"Ingraham; J. H. (Joseph Holt)","The free-trader or The cruiser of Narragansett Bay",NA,NA,1847,NA,NA
"eaf210",NA,"Ingraham; J. H. (Joseph Holt)","The surf skiff or The heroine of the Kennebec",NA,NA,1847,NA,NA
"eaf211",NA,"Ingraham; J. H. (Joseph Holt)","The treason of Arnold",NA,NA,1847,NA,NA
"eaf212",NA,"Ingraham; J. H. (Joseph Holt)","Jennette Alison or The young strawberry girl",NA,NA,1848,NA,NA
"eaf213v1",NA,"Irving; Washington","A history of New York Vol.1",NA,NA,1809,NA,NA
"eaf213v2",NA,"Irving; Washington","A history of New York Vol.2",NA,NA,1809,NA,NA
"eaf214",NA,"Irving; Washington","The sketch book of Geoffrey Crayon Gent",NA,NA,1819,NA,NA
"eaf215v1",NA,"Irving; Washington","Bracebridge Hall or The humorists Vol.1",NA,NA,1822,NA,NA
"eaf215v2",NA,"Irving; Washington","Bracebridge Hall or The humorists Vol.2",NA,NA,1822,NA,NA
